,Year_Rank,Title,Worldwide_Gross,Domestic,Percent_Domestic,Foreign,Percent_Foreign,Year,Domestic Distributor,Domestic Opening,Earliest Release Date,MPAA,Running Time,Genres,"
510,515,Doctor Who,"$264,629","$264,629",100%,-,-,2018,"Fathom EventsSee full company information

",,"June 11, 2018
            (Domestic)",,45 min,"Adventure
    
        Drama
    
        Family
    
        Sci-Fi","See more details at IMDbPro

",
511,516,The Producers 2018 Re-release,"$263,277","$216,807",82.3%,"$46,470",17.7%,2018,"Rialto PicturesSee full company information

","$6,091","June 7, 2002
            (Domestic)",,1 hr 28 min,"Comedy
    
        Music","See more details at IMDbPro

",
512,517,The Final Year,"$262,286","$191,900",73.2%,"$70,386",26.8%,2018,"Magnolia PicturesSee full company information

","$67,971","January 18, 2018
            (Australia)",,1 hr 29 min,Documentary,"See more details at IMDbPro

",
513,518,Eating You Alive,"$260,534","$260,534",100%,-,-,2018,"Fathom EventsSee full company information

",,"April 5, 2018
            (Domestic)",,1 hr 48 min,Documentary,"See more details at IMDbPro

",
514,519,Across the Universe 2018 Re-release,"$258,618","$258,618",100%,-,-,2018,"Revolution StudiosSee full company information

","$667,784","September 14, 2007
            (Domestic)",PG-13,2 hr 13 min,"Drama
    
        Fantasy
    
        History
    
        Music
    
        Musical
    
        Romance","See more details at IMDbPro

",
515,520,Big 2018 Re-release,"$258,507","$258,507",100%,-,-,2018,"Twentieth Century FoxSee full company information

","$8,216,190","June 3, 1988
            (Domestic)",,1 hr 44 min,"Comedy
    
        Drama
    
        Fantasy
    
        Romance","See more details at IMDbPro

",
516,521,Helicopter Eela,"$256,952","$71,971",28%,"$184,981",72%,2018,"Eros InternationalSee full company information

","$51,115","October 11, 2018
            (EMEA, APAC)",,2 hr 15 min,Drama,"See more details at IMDbPro

",
517,522,Hot Summer Nights,"$246,133",-,-,"$246,133",100%,2018,"A24See full company information

",,"July 27, 2018
            (Domestic, EMEA)",R,1 hr 47 min,"Comedy
    
        Crime
    
        Drama
    
        Romance","See more details at IMDbPro

",
518,523,The Fireflies Are Gone,"$245,006","$245,006",100%,-,-,2018,"Entertainment OneSee full company information

","$51,119","September 21, 2018
            (Domestic)",,1 hr 36 min,Drama,"See more details at IMDbPro

",
519,524,Dark River,"$239,182","$7,714",3.2%,"$231,468",96.8%,2018,"FilmRiseSee full company information

","$4,246","February 23, 2018
            (United Kingdom)",,1 hr 30 min,"Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
520,525,RWBY: Argus Limited,"$238,379","$238,379",100%,-,-,2018,"Fathom EventsSee full company information

",,"October 25, 2018
            (Domestic)",,22 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Drama
    
        Fantasy
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

",
521,526,Alien Intrusion: Unmasking a Deception,"$237,411","$237,411",100%,-,-,2018,"Fathom EventsSee full company information

",,"January 11, 2018
            (Domestic)",,2 hr 10 min,Documentary,"See more details at IMDbPro

",
522,527,Diamantino,"$235,041","$70,088",29.8%,"$164,953",70.2%,2018,"Kino LorberSee full company information

","$6,412","November 28, 2018
            (France)",,1 hr 36 min,"Comedy
    
        Drama
    
        Fantasy
    
        Sci-Fi","See more details at IMDbPro

",
523,528,Superman 2018 Re-release,"$233,585","$233,585",100%,-,-,2018,"Warner Bros.See full company information

","$7,465,343","December 15, 1978
            (Domestic)",PG,2 hr 23 min,"Action
    
        Adventure
    
        Drama
    
        Sci-Fi","See more details at IMDbPro

","$55,000,000"
524,529,Bishôjo senshi Sailor Moon Super S Special,"$231,434","$231,434",100%,-,-,2018,"Fathom EventsSee full company information

","$109,707","August 4, 2018
            (Domestic)",,1 hr,Animation,"See more details at IMDbPro

",
525,530,"Belle and Sebastian, Friends for Life 2018 Re-release","$229,983","$105,890",46%,"$124,093",54%,2018,,,"March 25, 2015
            (Slovenia)",,1 hr 31 min,"Adventure
    
        Family","See more details at IMDbPro

",
526,531,Studio 54,"$227,062","$199,767",88%,"$27,295",12%,2018,"Zeitgeist FilmsSee full company information

","$14,909","June 15, 2018
            (United Kingdom)",,1 hr 38 min,"Documentary
    
        History","See more details at IMDbPro

",
527,532,BuyBust,"$223,720","$178,471",79.8%,"$45,249",20.2%,2018,"Well Go USA EntertainmentSee full company information

","$77,955","August 2, 2018
            (United Arab Emirates)",,2 hr 7 min,"Action
    
        Thriller","See more details at IMDbPro

",
528,533,Little Pink House,"$220,948","$220,948",100%,-,-,2018,"Dada FilmsSee full company information

","$68,507","April 20, 2018
            (Domestic)",,1 hr 38 min,Drama,"See more details at IMDbPro

",
529,534,Fragments of Truth,"$219,342","$219,342",100%,-,-,2018,"Fathom EventsSee full company information

",,"April 24, 2018
            (Domestic)",,1 hr 15 min,Documentary,"See more details at IMDbPro

",
530,535,Dark Money,"$217,932","$217,932",100%,-,-,2018,"PBS DistributionSee full company information

","$8,100","July 13, 2018
            (Domestic)",,1 hr 39 min,Documentary,"See more details at IMDbPro

",
531,536,Getting Grace,"$217,812","$217,812",100%,-,-,2018,"Hannover HouseSee full company information

","$103,831","March 23, 2018
            (Domestic)",PG-13,1 hr 52 min,"Comedy
    
        Drama","See more details at IMDbPro

",
532,537,The Treasure of the Sierra Madre,"$215,295","$215,295",100%,-,-,2018,"Fathom EventsSee full company information

","$144,074","January 14, 2018
            (Domestic)",,2 hr 6 min,"Adventure
    
        Drama
    
        Western","See more details at IMDbPro

",
533,538,Agent Mr. Chan,"$208,351","$208,351",100%,-,-,2018,"China Lion Film DistributionSee full company information

","$62,234","February 23, 2018
            (Domestic)",,1 hr 41 min,"Comedy
    
        Romance","See more details at IMDbPro

",
534,539,The Dating Project,"$208,100","$208,100",100%,-,-,2018,"Fathom EventsSee full company information

",,"April 17, 2018
            (Domestic)",,1 hr 11 min,Documentary,"See more details at IMDbPro

",
535,540,Heading Home: The Tale of Team Israel,"$207,533","$207,533",100%,-,-,2018,"Menemsha FilmsSee full company information

","$12,678","December 14, 2018
            (Domestic)",,1 hr 27 min,"Comedy
    
        Documentary
    
        Drama
    
        Sport","See more details at IMDbPro

",
536,541,Keep the Change,"$202,788","$202,788",100%,-,-,2018,"Kino LorberSee full company information

","$12,445","March 16, 2018
            (Domestic)",,1 hr 34 min,"Comedy
    
        Romance","See more details at IMDbPro

",
537,542,The Bolshoi Ballet: Live From Moscow - Coppélia,"$202,217","$202,217",100%,-,-,2018,"Fathom EventsSee full company information

","$202,217","June 10, 2018
            (Domestic)",,2 hr 45 min,Comedy,"See more details at IMDbPro

",
538,543,Gemini,"$200,340","$200,340",100%,-,-,2018,"NeonSee full company information

","$32,980","March 30, 2018
            (Domestic)",R,1 hr 33 min,"Crime
    
        Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
539,544,Rebel Without a Cause 2018 Re-release,"$199,963","$199,963",100%,-,-,2018,"Warner Bros.See full company information

",,"October 27, 1955
            (Domestic)",,1 hr 51 min,Drama,"See more details at IMDbPro

",
540,545,Madeline's Madeline,"$197,309","$185,576",94.1%,"$11,733",5.9%,2018,"OscilloscopeSee full company information

","$18,009","August 10, 2018
            (Domestic)",,1 hr 33 min,"Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
541,546,Have It All -The Movie,"$197,142","$197,142",100%,-,-,2018,Atlantic Records,,"August 7, 2018
            (Domestic)",,1 hr 30 min,Documentary,"See more details at IMDbPro

",
542,547,Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,"$195,517","$166,616",85.2%,"$28,901",14.8%,2018,"Magnolia PicturesSee full company information

","$22,717","May 11, 2018
            (Domestic)",,1 hr 18 min,Documentary,"See more details at IMDbPro

",
543,548,Claire's Camera,"$191,980","$83,418",43.5%,"$108,562",56.5%,2018,"The Cinema GuildSee full company information

","$11,489","March 9, 2018
            (Domestic)",,1 hr 9 min,Drama,"See more details at IMDbPro

",
544,549,The Bolshoi Ballet: Live From Moscow - Don Quixote,"$187,946","$187,946",100%,-,-,2018,"Fathom EventsSee full company information

","$187,824","December 2, 2018
            (Domestic)",,2 hr 55 min,,"See more details at IMDbPro

",
545,550,Owaranai hito: Miyazaki Hayao,"$187,320","$187,320",100%,-,-,2018,"GKIDSSee full company information

","$10,238","December 13, 2018
            (Domestic)",,1 hr 10 min,"Biography
    
        Documentary","See more details at IMDbPro

",
546,551,Twiceland,"$186,078","$52,874",28.4%,"$133,204",71.6%,2018,"CJ EntertainmentSee full company information

",,"December 7, 2018
            (APAC, Domestic)",,,"Documentary
    
        Music","See more details at IMDbPro

",
547,552,National Theatre Live: King Lear,"$185,305","$185,305",100%,-,-,2018,"Fathom EventsSee full company information

",,"September 27, 2018
            (Domestic)",,3 hr 47 min,Drama,"See more details at IMDbPro

",
548,554,Shock and Awe,"$182,415","$77,980",42.7%,"$104,435",57.3%,2018,"Vertical EntertainmentSee full company information

","$45,856","July 13, 2018
            (Domestic)",R,1 hr 30 min,"Biography
    
        Drama
    
        History
    
        Thriller
    
        War","See more details at IMDbPro

",
549,555,The Bolshoi Ballet: Live From Moscow - The Flames of Paris,"$175,922","$175,922",100%,-,-,2018,"Fathom EventsSee full company information

","$175,922","March 4, 2018
            (Domestic)",,2 hr 15 min,,"See more details at IMDbPro

",
550,556,Always at The Carlyle,"$174,251","$174,251",100%,-,-,2018,"Good Deed EntertainmentSee full company information

","$9,239","May 11, 2018
            (Domestic)",PG-13,1 hr 32 min,Documentary,"See more details at IMDbPro

",
551,557,The Bolshoi Ballet: Live From Moscow - La Sylphide,"$171,177","$171,177",100%,-,-,2018,"Fathom EventsSee full company information

","$168,718","November 11, 2018
            (Domestic)",,2 hr,,"See more details at IMDbPro

",
552,558,Girls of the Sun,"$168,771","$19,712",11.7%,"$149,059",88.3%,2018,"Cohen Media GroupSee full company information

","$7,801","November 21, 2018
            (France)",,1 hr 55 min,"Drama
    
        War","See more details at IMDbPro

",
553,559,The Clovehitch Killer,"$167,994","$8,208",4.9%,"$159,786",95.1%,2018,"IFC FilmsSee full company information

","$5,175","November 16, 2018
            (Domestic)",,1 hr 49 min,"Crime
    
        Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
554,560,The Bolshoi Ballet: Live From Moscow - The Lady of the Camellias,"$167,991","$167,991",100%,-,-,2018,"Fathom EventsSee full company information

","$167,991","February 4, 2018
            (Domestic)",,3 hr 5 min,,"See more details at IMDbPro

",
555,561,Is Genesis History? 2018 Re-release,"$166,763","$166,763",100%,-,-,2018,"Fathom EventsSee full company information

",,"February 23, 2017
            (Domestic)",,1 hr 40 min,Documentary,"See more details at IMDbPro

",
556,562,Far From the Tree,"$166,018","$166,018",100%,-,-,2018,"IFC FilmsSee full company information

","$19,885","July 20, 2018
            (Domestic)",,1 hr 33 min,Documentary,"See more details at IMDbPro

",
557,563,Lost & Found,"$164,026","$125,173",76.3%,"$38,853",23.7%,2018,Hyper Film,,"July 13, 2018
            (United Kingdom)",,1 hr 36 min,"Comedy
    
        Drama","See more details at IMDbPro

",
558,564,The Samuel Project,"$161,565","$161,565",100%,-,-,2018,in8 Releasing,"$11,087","September 28, 2018
            (Domestic)",PG-13,1 hr 32 min,Drama,"See more details at IMDbPro

",
559,565,Lu Over the Wall,"$161,253","$109,857",68.1%,"$51,396",31.9%,2018,"GKIDSSee full company information

","$60,773","January 31, 2018
            (South Korea)",PG,1 hr 52 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Music","See more details at IMDbPro

",
560,566,National Theatre Live: The Curious Incident of the Dog in the Night-Time 2018 Re-release,"$160,381","$160,381",100%,-,-,2018,,,"October 4, 2012
            (APAC)",,2 hr 40 min,Drama,"See more details at IMDbPro

",
561,567,The Last Resort,"$158,646","$158,646",100%,-,-,2018,"Kino LorberSee full company information

","$1,844","December 21, 2018
            (Domestic)",,1 hr 10 min,"Documentary
    
        History","See more details at IMDbPro

",
562,568,Western,"$155,215","$41,072",26.5%,"$114,143",73.5%,2018,"The Cinema GuildSee full company information

","$6,688","February 16, 2018
            (Domestic)",,2 hr 1 min,Drama,"See more details at IMDbPro

",
563,569,Bad Reputation,"$154,190","$148,568",96.4%,"$5,622",3.6%,2018,"Magnolia PicturesSee full company information

","$130,675","September 28, 2018
            (Domestic)",R,1 hr 33 min,"Biography
    
        Documentary
    
        Music","See more details at IMDbPro

",
564,570,Eating Animals,"$153,993","$149,614",97.2%,"$4,379",2.8%,2018,"IFC FilmsSee full company information

","$34,524","June 15, 2018
            (Domestic)",,1 hr 34 min,Documentary,"See more details at IMDbPro

",
565,571,The Tag Along: Devil Fish,"$153,895","$20,726",13.5%,"$133,169",86.5%,2018,"China Lion Film DistributionSee full company information

","$10,974","November 29, 2018
            (Hong Kong)",,1 hr 54 min,Horror,"See more details at IMDbPro

",
566,572,"Buttons, A New Musical Film","$151,983","$151,983",100%,-,-,2018,"Fathom EventsSee full company information

","$151,972","December 8, 2018
            (Domestic)",PG,1 hr 55 min,"Drama
    
        Family
    
        Fantasy
    
        Musical","See more details at IMDbPro

",
567,573,Night of the Living Dead 2018 Re-release,"$147,423","$147,423",100%,-,-,2018,"Janus FilmsSee full company information

","$5,452","October 13, 2017
            (Domestic)",,1 hr 36 min,"Horror
    
        Thriller","See more details at IMDbPro

",
568,574,Hannah,"$146,325","$11,700",8%,"$134,625",92%,2018,"Parade Deck FilmsSee full company information

","$11,700","February 22, 2018
            (Netherlands)",,1 hr 33 min,Drama,"See more details at IMDbPro

",
569,575,Mr. Smith Goes to Washington 2018 Re-release,"$144,738","$144,738",100%,-,-,2018,"Columbia PicturesSee full company information

",,"October 19, 1939
            (Domestic)",,2 hr 9 min,"Comedy
    
        Drama","See more details at IMDbPro

","$1,900,000"
570,576,The Price of Everything,"$144,446","$87,400",60.5%,"$57,046",39.5%,2018,"Home Box Office (HBO)See full company information

","$16,817","October 19, 2018
            (Domestic)",,1 hr 38 min,Documentary,"See more details at IMDbPro

",
571,577,Disguising,"$143,108",-,-,"$143,108",100%,2018,"Reliance EntertainmentSee full company information

",,"February 15, 2018
            (APAC)",,2 hr 37 min,"Action
    
        Thriller","See more details at IMDbPro

",
